start_x,start_y,end_x,end_y,traj_id,cluster_id
11647.186000000003,3991.248,11647.178999999998,3990.718,1,2598.0
11645.075,3987.495,11645.551000000001,3988.3190000000004,1,0.0
11645.678,3991.749,11643.597,3992.573,1,0.0
11645.419,3995.203,11646.793999999998,3994.389,1,0.0
11643.161,3992.2340000000013,11642.843,3990.776,1,0.0
11642.843,3990.776,11642.77,3993.528,1,0.0
11642.77,3993.528,11641.563,3994.62,1,0.0
11640.933,3989.533,11641.218,3989.223,10,2597.0
11643.758,3993.248,11643.747,3993.972,10,0.0
11643.747,3993.972,11642.713,3993.85,10,0.0
11642.713,3993.85,11642.532,3992.322,10,0.0
11642.14,3990.358,11643.008,3989.908,10,0.0
11643.008,3989.908,11642.495,3989.6050000000014,10,0.0
11644.966999999999,3989.195,11644.962,3989.7670000000003,10,2277.0
11643.868,3989.927,11643.808,3989.6320000000014,10,2466.0
11643.808,3989.6320000000014,11643.02,3990.045,10,0.0
11643.02,3990.045,11643.091999999999,3993.223,10,0.0
11643.091999999999,3993.223,11643.737,3992.717,10,0.0
11643.737,3992.717,11643.068000000001,3992.882,10,1022.0
11643.068000000001,3992.882,11643.938,3992.183,10,0.0
11643.938,3992.183,11645.108,3991.615,10,0.0
11645.108,3991.615,11645.16,3991.82,10,2212.0
11646.052,3992.212,11645.595,3993.5,10,0.0
11645.595,3993.5,11645.505,3993.247,10,2570.0
11645.505,3993.247,11644.423,3993.278,10,0.0
11644.423,3993.278,11644.37,3993.995,10,0.0
11644.37,3993.995,11642.6,3994.175,10,0.0
11642.6,3994.175,11642.558,3992.61,10,0.0
11642.558,3992.61,11641.963,3992.803,10,2379.0
11641.963,3992.803,11641.918,3993.232,10,1736.0
11643.335,3989.335,11642.923,3989.9179999999997,10,0.0
11642.923,3989.9179999999997,11643.058,3990.213,10,2389.0
11643.058,3990.213,11642.95,3993.952,10,0.0
11642.95,3993.952,11646.013,3994.252,10,0.0
11644.421999999999,3993.552,11643.745,3993.178,10,0.0
11643.745,3993.178,11643.403,3992.287,10,0.0
11643.403,3992.287,11642.277,3992.675,10,0.0
11642.277,3992.675,11642.591999999999,3992.722,10,2552.0
11642.591999999999,3992.722,11642.695,3993.24,10,2365.0
11642.695,3993.24,11642.242,3993.215,10,2003.0
11642.242,3993.215,11642.687,3993.228,10,2003.0
11641.04,3989.588,11641.443000000001,3988.3,10,0.0
11643.233,3990.51,11642.893,3991.342,10,0.0
11642.893,3991.342,11642.52,3992.2470000000003,10,0.0
11642.105,3989.8979999999997,11642.19,3989.183,10,2165.0
11642.19,3989.183,11642.923,3989.0679999999998,10,412.0
11642.923,3989.0679999999998,11641.275,3989.272,10,0.0
11641.275,3989.272,11641.181999999999,3989.9829999999997,10,0.0
11640.663,3989.5670000000014,11641.258,3989.18,10,0.0
11643.613,3989.76,11643.025,3989.975,10,2502.0
11643.025,3989.975,11642.528,3994.825,10,0.0
11642.528,3994.825,11640.233,3994.812,10,0.0
11640.233,3994.812,11640.113000000001,3997.45,10,0.0
11640.992,3992.283,11641.995,3992.272,10,0.0
11641.995,3992.272,11642.02,3991.4120000000003,10,0.0
11642.02,3991.4120000000003,11642.886999999999,3991.1430000000014,10,0.0
11642.886999999999,3991.1430000000014,11643.143,3989.8379999999997,10,0.0
11643.143,3989.8379999999997,11643.772,3989.5670000000014,10,0.0
11643.772,3989.5670000000014,11643.953,3988.312,10,0.0
11643.252,3989.242,11641.463,3989.573,10,0.0
11641.463,3989.573,11640.59,3989.598,10,0.0
11641.927,3994.002,11642.047,3990.375,10,0.0
11642.047,3990.375,11642.985,3990.2870000000003,10,0.0
11642.985,3990.2870000000003,11643.25,3989.643,10,2328.0
11643.25,3989.643,11642.163,3989.558,10,0.0
11642.163,3989.558,11643.12,3989.873,10,0.0
11643.12,3989.873,11642.873,3993.923,10,0.0
11642.873,3993.923,11644.415,3993.957,10,0.0
11644.415,3993.957,11644.303,3993.528,10,2145.0
11644.303,3993.528,11643.362,3993.453,10,0.0
11643.362,3993.453,11641.957,3993.1679999999997,10,0.0
11640.162,3996.067,11640.476999999999,3995.775,10,2416.0
11642.997,3994.825,11643.84,3994.27,10,0.0
11643.84,3994.27,11642.62,3993.975,10,0.0
11642.62,3993.975,11641.945,3993.925,10,1972.0
11641.945,3993.925,11641.632,3992.665,10,0.0
11641.632,3992.665,11641.097,3992.572,10,0.0
11643.097,3989.855,11643.762,3989.607,10,0.0
11643.762,3989.607,11643.867,3988.312,10,0.0
11643.865,3989.927,11643.895,3989.23,10,1707.0
11643.895,3989.23,11645.562,3989.23,10,0.0
11645.562,3989.23,11645.345,3990.468,10,0.0
11642.972,3990.472000000001,11642.693000000001,3992.28,10,0.0
11642.693000000001,3992.28,11642.277,3992.632,10,2161.0
11642.277,3992.632,11642.783000000001,3992.6,10,2552.0
11642.947,3992.303,11643.968,3991.888,10,0.0
11644.072,3991.1900000000014,11644.546999999999,3990.455,10,0.0
11644.546999999999,3990.455,11644.993,3990.692,10,1841.0
11644.993,3990.692,11647.171999999999,3990.685,10,0.0
11647.171999999999,3990.685,11647.485,3991.41,10,292.0
11647.485,3991.41,11647.183,3991.395,10,2327.0
11647.183,3991.395,11646.812,3990.715,10,2598.0
11646.812,3990.715,11645.533000000001,3990.665,10,0.0
11645.533000000001,3990.665,11645.205,3989.763,10,0.0
11645.205,3989.763,11645.527,3989.765,10,2470.0
11645.527,3989.765,11645.622,3990.592,10,0.0
11640.136999999999,3998.707,11640.077,3997.397,10,0.0
11640.077,3997.397,11639.558,3997.087,10,0.0
11641.41,3992.287,11642.01,3992.075,10,2288.0
11642.01,3992.075,11642.255,3993.152,10,0.0
11642.255,3993.152,11642.575,3992.62,10,1830.0
11639.995,3990.645,11641.252,3989.211,11,0.0
11640.745,3999.759,11641.128,4000.055,12,2611.0
11641.003,3994.825,11642.766000000001,3993.214,12,0.0
11642.766000000001,3993.214,11642.053999999998,3990.492,12,0.0
11641.185,3990.825,11642.847,3991.336,12,0.0
11645.575,3991.318,11645.21,3995.4959999999996,12,0.0
11641.157,3996.905,11641.885,3996.145,12,0.0
11641.883999999998,3998.776,11640.108999999999,3997.671,12,0.0
11644.416000000001,3992.05,11644.921999999999,3993.511,12,0.0
11639.965,3994.803,11641.64,3994.5959999999995,12,0.0
11641.64,3994.5959999999995,11643.833,3993.953,12,0.0
11643.833,3993.953,11643.343,3995.804,12,0.0
11643.343,3995.804,11641.866000000002,3996.744,12,0.0
11641.866000000002,3996.744,11641.794,3998.6990000000014,12,0.0
11641.845,3994.761,11641.33,3996.093,12,0.0
11641.33,3996.093,11641.176,3996.7340000000004,12,2429.0
11640.008,3996.758,11640.08,3994.762,13,0.0
11644.778,3995.0890000000004,11642.674,3993.247,13,0.0
11641.985,3993.957,11642.796,3992.698,13,0.0
11642.078000000001,3993.977,11641.708,3992.382,13,0.0
11642.623,3995.2740000000013,11641.889,3995.989,13,0.0
11641.56,3990.688,11641.301000000001,3989.991,14,0.0
11645.465,3995.406,11641.169,3996.805,15,0.0
11639.69,3998.679,11639.941,3999.744000000001,15,0.0
11642.063999999998,3990.6940000000013,11643.032,3989.8779999999997,15,0.0
11643.032,3989.8779999999997,11641.788999999999,3989.5960000000014,15,0.0
11641.751,3994.798,11642.771,3995.809000000001,15,0.0
11642.771,3995.809000000001,11643.017,3993.4190000000003,15,0.0
11643.017,3993.4190000000003,11641.963,3993.482,15,0.0
11645.995,3991.203,11647.007,3991.188,16,0.0
11647.007,3991.188,11646.462,3990.71,16,0.0
11646.462,3990.71,11645.677,3990.68,16,0.0
11647.168,3990.883,11646.192,3991.2,16,0.0
11646.192,3991.2,11645.59,3991.3979999999997,16,0.0
11645.59,3991.3979999999997,11645.538,3995.112,16,0.0
11645.538,3995.112,11642.88,3996.825,16,0.0
11641.898,3994.852,11642.357,3994.322,16,0.0
11642.357,3994.322,11642.875,3993.973,16,2260.0
11642.875,3993.973,11645.587,3994.038,16,0.0
11645.587,3994.038,11645.693000000001,3994.823,16,0.0
11645.693000000001,3994.823,11646.178,3995.553,16,0.0
11645.965,3995.8550000000014,11645.095,3995.545,16,0.0
11645.095,3995.545,11644.808,3995.83,16,2615.0
11644.808,3995.83,11643.94,3994.937,16,0.0
11644.421999999999,3993.585,11644.442,3990.708,16,0.0
11644.442,3990.708,11645.5,3990.528,16,0.0
11645.5,3990.528,11645.208,3989.322,16,0.0
11643.365,3989.825,11642.037,3990.3350000000014,16,0.0
11642.037,3990.3350000000014,11642.982,3990.3170000000014,16,0.0
11642.982,3990.3170000000014,11643.778,3989.575,16,0.0
11642.032,3989.92,11641.357,3989.995,16,889.0
11641.357,3989.995,11642.258,3990.357,16,0.0
11642.258,3990.357,11642.995,3990.028,16,0.0
11642.995,3990.028,11643.775,3989.348,16,0.0
11643.775,3989.348,11643.898000000001,3990.218,16,0.0
11640.622,3999.97,11641.1,3999.732,16,2129.0
11641.455,3996.795,11643.345,3996.61,16,0.0
11643.345,3996.61,11645.578,3994.852,16,0.0
11645.578,3994.852,11646.732,3994.6279999999997,16,0.0
11644.208,3997.11,11644.482,3996.562,16,0.0
11644.482,3996.562,11644.028,3996.203,16,2567.0
11644.028,3996.203,11643.125,3996.78,16,0.0
11643.125,3996.78,11641.868,3997.125,16,0.0
11641.868,3997.125,11641.835,3997.592,16,303.0
11641.835,3997.592,11641.431999999999,3997.868,16,0.0
11640.647,3999.6630000000014,11641.773,3999.2,16,0.0
11641.773,3999.2,11641.759999999998,3998.823,16,1573.0
11642.303,3996.78,11645.475,3995.178,16,0.0
11645.475,3995.178,11645.465,3990.735,16,0.0
11647.165,3989.825,11647.16,3991.032,16,0.0
11646.958,3991.093,11645.593,3991.242,16,0.0
11645.593,3991.242,11645.017,3992.2070000000003,16,0.0
11645.58,3992.242,11645.54,3995.11,16,0.0
11645.54,3995.11,11643.823,3996.757,16,0.0
11644.771999999999,3987.487,11645.035,3988.295,16,0.0
11645.035,3988.295,11645.53,3989.737,16,0.0
11642.896999999999,3991.437,11642.928,3993.922,16,0.0
11642.928,3993.922,11642.806999999999,3993.27,16,2387.0
11642.806999999999,3993.27,11643.238000000001,3992.547,16,0.0
11643.238000000001,3992.547,11643.4,3992.098,16,2603.0
11644.447,3990.695,11645.58,3990.572,16,0.0
11645.58,3990.572,11645.3,3994.747,16,0.0
11645.3,3994.747,11645.602,3994.9800000000014,16,2590.0
11645.625,3995.538,11644.335,3996.01,16,0.0
